question,option_one,option_two,option_three,option_four,answer
संघ के नायक कौन होते हैं?, अरिहंत, सिध्द, आचार्य, उपाध्याय ,3
नवकार मंत्र के स्मरण से किसका नाश होता है?, सभी पाप, सभी पुण्य, धर्म, अधर्म ,1
साधु-साध्वी किन जीवों की रक्षा करते हैं?, पंचेन्द्रिय, त्रसकाय, छहकाय, एकेन्द्रिय,3
आगमों का अध्ययन अध्यापन कौन करते हैं, अरिहंत, साधु, आचार्य, उपाध्याय ,4
नवकार मंत्र में  किसको नमस्कार किया गया है?, व्यक्ति, गुण, श्रमण, तीर्थंकर ,2
नवकार मंत्र के स्मरण से अग्नि का पानी किसने किया?, नागकुमार, असुरकमार, अमरकुमार, श्रवणकुमार,3
नवकार मंत्र के स्मरण से चंपा नगरी के द्वार किसने खोले?, सती सुलसा, सती सुभद्रा, सती सोमा, सती सुंदरी,2
आचार्य के गुण कितने हैं?,12,27,36,8,3
नवकार मंत्र के स्मरण से सर्प की फूलमाला किसने बनायी?, सती सुलसा, सती सुभद्रा, सती सोमा, सती सुंदरी,3
नवकार मंत्र के प्रभाव से किसका कोढ दूर हुआ?, श्रीदेव, श्रीपाल, श्रीधर, श्रीराज ,2
नवकार मंत्र के स्मरण से शुली का सिंहासन किसने बनाया?, सेठ सुदर्शन, सेठ प्रियदर्शन, सेठ दर्शन, सेठ रम्यदर्शन,1
सिद्ध के कितने गुण हैं?,12,8,36,25,2
नवकार मंत्र के श्रवण से नाग नागीन क्या बने?, धरमेंद्र कलावती, धरणेंद्र पद्मावती, सुरेंद्र रमावती, सुरेंद्र फणावती ,2
उपाध्याय के कितने गुण हैं?,25,12,27,36,1
साधु साध्वी के कितने गुण हैं?,8,25,27,12,3
अरिहंत के कितने गुण हैं?,12,8,36,27,1
सिद्ध का वर्ण कौनसा है?, काला, सफेद, लाल, पीला,2
अरिहंत का वर्ण कौनसा है?, काला, सफेद, लाल, पीला,3
आचार्य का वर्ण कौनसा है?, हरा, सफेद, लाल, पीला,4
उपाध्याय का वर्ण कौनसा है?, हरा, सफेद, काला, लाल,1
साधु साध्वी का वर्ण कौनसा है?, हरा, सफेद, काला, लाल,3
नवकार मंत्र कैसा मंगल है?, प्रथम, श्रेष्ठ, उत्कृष्ट, महान,1
आठ कर्मों का क्षय कौन करते है?, अरिहंत, सिध्द, आचार्य, उपाध्याय ,2
अरिहंत के किन कर्मों का क्षय हुआ है?, सर्वघाती, घाती, अघाती, देशघाती,2
नवकार मंत्र में विनय दर्शाने वाला शब्द कौनसा है?, नमो, सिध्द, एसो, मंगल,1
नवकार मंत्र में कितने पदों को नमस्कार किया गया है?,2,3,4,5,4
नवकार मंत्र का स्मरण कब करना चाहिए?, संकट में, कभी-कभी, प्रतिदिन, खुशी में ,3
साधु साध्वी किस धर्म की प्रभावना करते हैं?, जैनधर्म, शास्त्रधर्म, आगार धर्म, अणगार धर्म ,1
नवकार मंत्र का लघु रूप क्या है?, ॐ असिआउसाय नमः, ॐ असिओसाय नमः, ॐ सिओसाय नमः, ॐ अयोसाय नमः,1
जैन धर्म का मूल मंत्र कौनसा है?, नवकार मंत्र, गायत्री मंत्र, मंगल मंत्र, सुमिरण मंत्र,1
नवकार मंत्र किस भाषा में है?, संस्कृत, हिन्दी, प्राकृत, मारवाडी,3
नवकार मंत्र में कितने पूर्व का सार है?,11,14,9,5,2
वर्तमान में अरिहंत किस क्षेत्र में है?, भरत, ऐरावत, महाविदेह, हरिवास,3
अरिहंत के कितने कर्म शेष है?,1,2,3,4,4
सिध्द भगवान कहां विराजमान हैं?, सिध्दशिला पर, मनःशिला पर, ऋषभशिला पर,  मोक्षशिला पर,1
नवकार मंत्र किसने लिखा?, भगवान महावीर, भगवान ऋषभदेव, गौतम स्वामी, किसी ने नहीं ,4
आचार्य के कितने कर्म शेष है?,2,4,6,8,4
नवकार मंत्र में कितनी महान आत्माओं को नमस्कार किया है?, पाँच, अनंत, नौ, ग्यारह ,2
नवकार मंत्र किस छंद में है?, आर्या, शिखरिणी, वसन्ततिलका, उपजाति,1
जो राग द्वेष से रहित होते हैं उन्हें क्या कहते हैं?, सिध्द, अरिहंत, आचार्य, उपाध्याय ,2
नवकार मंत्र के कितने अक्षर है?,65,68,69,39,2
नवकार मंत्र के पांच पदों में कितने अक्षर है?,17,27,35,38,3
नवकार मंत्र का चौथा पद कौनसा है?, अरिहंत, सिध्द, आचार्य, उपाध्याय,4
माला में कितने मणि होते है?,27,36,108,25,3
जैन धर्म में समता की साधना किसमें की जाती है?, सामायिक, पौषध, देशावगासिक व्रत, दिशाव्रत,1
पांच पदों में गुरु पद कितने हैं?,1,2,3,0,3
पांच पदों में देव पद कितने हैं?,1,2,3,0,2
सामायिक कितने समय की होती है?, ६० मिनिट, ५० मिनिट, ५२ मिनिट, ४८ मिनिट,4
सामायिक के कितने दोष है?,32,10,12,108,1
लोगस्स के पाठ में 'वंदामि' शब्द कितनी बार आता है ?,1,2,3,4,2
सामायिक में किस योग के प्रत्याख्यान होते हैं?, पापयोग, धर्मयोग, सावद्ययोग, निरवद्ययोग,3
सामायिक पारने का पाठ कौनसा है?, नवकार मंत्र, एयस्स नवमस्स, करेमि भंते, लोगस्स,2
सामायिक किस पाठ से ली जाती है?, नवकार मंत्र, एयस्स नवमस्स, करेमि भंते, लोगस्स,3
सामायिक में जीवरक्षा का उपकरण कौनसा है?, माला, पुंजनी, किताब, घडी,2
इतिहास में किस श्रावक की सामायिक प्रसिद्ध है ?, आनंद, शकडाल, नंदिनीपिता, पुणिया,4
तिक्खुत्तो के पाठ से हम किसे वंदना करते हैं?, देव, गुरु, माता, पिता,2
२४ तीर्थंकर की स्तुति किस पाठ से की जाती है?, लोगस्स, तस्स उत्तरी, इरियावहिया, नवकार मंत्र,1
कायोत्सर्ग के कितने आगार है?,10,11,13,12,4
प्रथम णमोत्थुणं में हम किसे नमस्कार करते हैं?, गुरु, अरिहंत, सिध्द, साधु,3
सामायिक में कौनसे ध्यान नहीं करने चाहिए?, आर्त-शुक्ल, धर्म-रौद्र, आर्त-धर्म, आर्त-रौद्र,4
तीर्थंकर कहां प्रकाश करते हैं?, लोक में, जगत् में, तीनों लोक में, विश्व में,3
सामायिक में कितनी विकथा नहीं करनी चाहिए?,4,16,12,8,1
प्रतिक्रमण का प्रथम आवश्यक कौनसा है?, चतुर्विंशतिस्तव, सामायिक, वंदना, कायोत्सर्ग,2
गुरु को जघन्य वंदना कैसे की जाती है?, हाथ जोडना, मस्तक झुकाना, मत्थएण वंदामि कहना, घुटने टेकना,3
हमारे देव कौन है?, भगवान महावीर, अरिहंत, गुरू, साधु,2
लोगस्स के पाठ में 'वन्दे' शब्द कितनी बार आता है?,3,1,2,4,1
सामायिक के पाठ में आदि मंगल कौनसा है?, मंगल मंत्र,  नवकार मंत्र, इरियावहिया, लोगस्स,2
सामायिक के पाठ में मध्य मंगल कौनसा है?, मंगल मंत्र,  नवकार मंत्र, इरियावहिया, लोगस्स,4
सामायिक के पाठ में अंतिम मंगल कौनसा है?, णमोत्थुणं,  नवकार मंत्र, इरियावहिया, लोगस्स,1
णमोत्थुणं के पाठ का दूसरा नाम क्या है?, चउवीसत्थव, इन्द्रस्तव, शक्रस्तव, अरिहंतस्तव,3
नवकार मंत्र में 'नमो' पद कितनी बार आया है?,1,5,6,7,3
नवकार मंत्र में शिक्षक का पद कौनसा है?, सिध्द, उपाध्याय, साधु, अरिहंत,2
