question,option_one,option_two,option_three,option_four,answer
भ.महावीर का जन्म स्थान कौनसा?, हस्तिनापुर, हस्तिशीर्ष, कुण्डलपुर, मणिपुर ,3
भ.महावीर की माता का नाम क्या?, त्रिशला, यशोदा, प्रियदर्शना, सुदर्शना ,1
भ.महावीर के पिता का नाम क्या?, नंदीवर्धन, सिद्धार्थ, सुपार्श्व, चेटक,2
भ.महावीर के कुल साधु कितने थे?,14000,15000,16000,36000,1
भ.महावीर के वीरता की पहली परीक्षा किसने ली थी?, शुलपाणीयक्ष, संगमदेव, ब्रम्हदेव, मुद्गरपाणीयक्ष,2
भ.महावीर का निर्वाण स्थान कौनसा?, अपापापुरी, मोक्षपुरी, शिवपुरी, पावापुरी,4
भ.महावीर का चिह्न क्या?, सिंह, वृषभ, मगर, बंदर,1
भ.महावीर की निर्वाण तिथि कौनसी?, पंचमी, चौदस, पौर्णिमा, अमावस्या ,4
भ.महावीर ने किस उम्र में दीक्षा ली?,21,28,30,32,3
भ.महावीर की कुल उम्र कितनी?,30,42,100,72,4
इस युग के २४ वें तीर्थकर कौन?, भ. ऋषभदेव, भ. पद्मनाथ, भ.महावीर,  भ. अममस्वामी,3
भ.महावीर का बचपन का नाम क्या था?, वर्धमान, वर्धन, नंदीवर्धन, सन्मति,1
भ.महावीर के बड़े भाई का नाम क्या?, सुपार्श्व, नंदीवर्धन, नंदीषेण, सुदर्शन,2
भ.महावीर ने किस भाषा में उपदेश दिया?, अर्धमागधी, पाली, संस्कृत, हिन्दी ,1
भ.महावीर के गणधर कितने?,116,84,11,9,3
भ.महावीर के दामाद का नाम क्या?, सुमाली, अर्जुनमाली, देवमाली, जमाली,4
भ.महावीर को आहार देने से किसकी बेड़ियां टूटी?, खरक वैद्य, मृगावती, चंदनबाला, जीरण सेठ,3
भ.महावीर के कुल श्रावक कितने थे?,169000,159000,195000,114000,2
भ.महावीर की कुल श्राविकाएं कितनी थी?,363000,314000,359000,318000,4
तीर्थंकर किस राग में देशना देते हैं?, मालकोष, भैरवी, मालवी, भुपाली ,1
भ.महावीर की कुल साध्वियां कितनी थी?,63000,36000,14000,59000,2
भ.महावीर के कानों में कीलें किसने ठोकी थी?, किसान, वैद्य, ग्वाला, सैनिक,3
भ.महावीर ने कितने अभिग्रह ग्रहण किये थे?,5,7,9,13,4
