question,option_one,option_two,option_three,option_four,answer
संघ के नायक कौन होते हैं?, अरिहंत, सिध्द, आचार्य, उपाध्याय ,3
नवकार मंत्र के स्मरण से किसका नाश होता है?, सभी पाप, सभी पुण्य, धर्म, अधर्म ,1
साधु-साध्वी किन जीवों की रक्षा करते हैं?, पंचेन्द्रिय, त्रसकाय, छहकाय, एकेन्द्रिय,3
आगमों का अध्ययन अध्यापन कौन करते हैं, अरिहंत, साधु, आचार्य, उपाध्याय ,4
नवकार मंत्र में  किसको नमस्कार किया गया है?, व्यक्ति, गुण, श्रमण, तीर्थंकर ,2
नवकार मंत्र के स्मरण से अग्नि का पानी किसने किया?, नागकुमार, असुरकमार, अमरकुमार, श्रवणकुमार,3
नवकार मंत्र के स्मरण से चंपा नगरी के द्वार किसने खोले?, सती सुलसा, सती सुभद्रा, सती सोमा, सती सुंदरी,2
आचार्य के गुण कितने हैं?,12,27,36,8,3
नवकार मंत्र के स्मरण से सर्प की फूलमाला किसने बनायी?, सती सुलसा, सती सुभद्रा, सती सोमा, सती सुंदरी,3
नवकार मंत्र के प्रभाव से किसका कोढ दूर हुआ?, श्रीदेव, श्रीपाल, श्रीधर, श्रीराज ,2
नवकार मंत्र के स्मरण से शुली का सिंहासन किसने बनाया?, सेठ सुदर्शन, सेठ प्रियदर्शन, सेठ दर्शन, सेठ रम्यदर्शन,1
सिद्ध के कितने गुण हैं?,12,8,36,25,2
नवकार मंत्र के श्रवण से नाग नागीन क्या बने?, धरमेंद्र कलावती, धरणेंद्र पद्मावती, सुरेंद्र रमावती, सुरेंद्र फणावती ,2
उपाध्याय के कितने गुण हैं?,25,12,27,36,1
साधु साध्वी के कितने गुण हैं?,8,25,27,12,3
अरिहंत के कितने गुण हैं?,12,8,36,27,1
सिद्ध का वर्ण कौनसा है?, काला, सफेद, लाल, पीला,3
अरिहंत का वर्ण कौनसा है?, काला, सफेद, लाल, पीला,2
आचार्य का वर्ण कौनसा है?, हरा, सफेद, लाल, पीला,4
उपाध्याय का वर्ण कौनसा है?, हरा, सफेद, काला, लाल,1
साधु साध्वी का वर्ण कौनसा है?, हरा, सफेद, काला, लाल,3
नवकार मंत्र कैसा मंगल है?, प्रथम, श्रेष्ठ, उत्कृष्ट, महान,1
आठ कर्मों का क्षय कौन करते है?, अरिहंत, सिध्द, आचार्य, उपाध्याय ,2
अरिहंत के किन कर्मों का क्षय हुआ है?, सर्वघाती, घाती, अघाती, देशघाती,2
नवकार मंत्र में विनय दर्शाने वाला शब्द कौनसा है?, नमो, सिध्द, एसो, मंगल,1
नवकार मंत्र में कितने पदों को नमस्कार किया गया है?,2,3,4,5,4
नवकार मंत्र का स्मरण कब करना चाहिए?, संकट में, कभी-कभी, प्रतिदिन, खुशी में ,3
साधु साध्वी किस धर्म की प्रभावना करते हैं?, जैनधर्म, शास्त्रधर्म, आगार धर्म, अणगार धर्म ,1
नवकार मंत्र का लघु रूप क्या है?, ॐ असिआउसाय नमः, ॐ असिओसाय नमः, ॐ सिओसाय नमः, ॐ अयोसाय नमः,1
जैन धर्म का मूल मंत्र कौनसा है?, नवकार मंत्र, गायत्री मंत्र, मंगल मंत्र, सुमिरण मंत्र,1
नवकार मंत्र किस भाषा में है?, संस्कृत, हिन्दी, प्राकृत, मारवाडी,3
नवकार मंत्र में कितने पूर्व का सार है?,11,14,9,5,2
वर्तमान में अरिहंत किस क्षेत्र में है?, भरत, ऐरावत, महाविदेह, हरिवास,3
अरिहंत के कितने कर्म शेष है?,1,2,3,4,4
सिध्द भगवान कहां विराजमान हैं?, सिध्दशिला पर, मनःशिला पर, ऋषभशिला पर,  मोक्षशिला पर,1
नवकार मंत्र किसने लिखा?, भगवान महावीर, भगवान ऋषभदेव, गौतम स्वामी, किसी ने नहीं ,4
आचार्य के कितने कर्म शेष है?,2,4,6,8,4
नवकार मंत्र में कितनी महान आत्माओं को नमस्कार किया है?, पाँच, अनंत, नौ, ग्यारह ,2
नवकार मंत्र किस छंद में है?, आर्या, शिखरिणी, वसन्ततिलका, उपजाति,1
जो राग द्वेष से रहित होते हैं उन्हें क्या कहते हैं?, सिध्द, अरिहंत, आचार्य, उपाध्याय ,2
नवकार मंत्र के कितने अक्षर है?,65,68,69,39,2
नवकार मंत्र के पांच पदों में कितने अक्षर है?,17,27,35,38,3
नवकार मंत्र का चौथा पद कौनसा है?, अरिहंत, सिध्द, आचार्य, उपाध्याय,4
माला में कितने मणि होते है?,27,36,108,25,3
जैन धर्म में समता की साधना किसमें की जाती है?, सामायिक, पौषध, देशावगासिक व्रत, दिशाव्रत,1
पांच पदों में गुरु पद कितने हैं?,1,2,3,0,3
पांच पदों में देव पद कितने हैं?,1,2,3,0,2
सामायिक कितने समय की होती है?, ६० मिनिट, ५० मिनिट, ५२ मिनिट, ४८ मिनिट,4
सामायिक के कितने दोष है?,32,10,12,108,1
लोगस्स के पाठ में 'वंदामि' शब्द कितनी बार आता है ?,1,2,3,4,2
सामायिक में किस योग के प्रत्याख्यान होते हैं?, पापयोग, धर्मयोग, सावद्ययोग, निरवद्ययोग,3
सामायिक पारने का पाठ कौनसा है?, नवकार मंत्र, एयस्स नवमस्स, करेमि भंते, लोगस्स,2
सामायिक किस पाठ से ली जाती है?, नवकार मंत्र, एयस्स नवमस्स, करेमि भंते, लोगस्स,3
सामायिक में जीवरक्षा का उपकरण कौनसा है?, माला, पुंजनी, किताब, घडी,2
इतिहास में किस श्रावक की सामायिक प्रसिद्ध है ?, आनंद, शकडाल, नंदिनीपिता, पुणिया,4
तिक्खुत्तो के पाठ से हम किसे वंदना करते हैं?, देव, गुरु, माता, पिता,2
२४ तीर्थंकर की स्तुति किस पाठ से की जाती है?, लोगस्स, तस्स उत्तरी, इरियावहिया, नवकार मंत्र,1
कायोत्सर्ग के कितने आगार है?,10,11,13,12,4
प्रथम णमोत्थुणं में हम किसे नमस्कार करते हैं?, गुरु, अरिहंत, सिध्द, साधु,3
सामायिक में कौनसे ध्यान नहीं करने चाहिए?, आर्त-शुक्ल, धर्म-रौद्र, आर्त-धर्म, आर्त-रौद्र,4
तीर्थंकर कहां प्रकाश करते हैं?, लोक में, जगत् में, तीनों लोक में, विश्व में,3
सामायिक में कितनी विकथा नहीं करनी चाहिए?,4,16,12,8,1
प्रतिक्रमण का प्रथम आवश्यक कौनसा है?, चतुर्विंशतिस्तव, सामायिक, वंदना, कायोत्सर्ग,2
गुरु को जघन्य वंदना कैसे की जाती है?, हाथ जोडना, मस्तक झुकाना, मत्थएण वंदामि कहना, घुटने टेकना,3
हमारे देव कौन है?, भगवान महावीर, अरिहंत, गुरू, साधु,2
लोगस्स के पाठ में 'वन्दे' शब्द कितनी बार आता है?,3,1,2,4,1
सामायिक के पाठ में आदि मंगल कौनसा है?, मंगल मंत्र,  नवकार मंत्र, इरियावहिया, लोगस्स,2
सामायिक के पाठ में मध्य मंगल कौनसा है?, मंगल मंत्र,  नवकार मंत्र, इरियावहिया, लोगस्स,4
सामायिक के पाठ में अंतिम मंगल कौनसा है?, णमोत्थुणं,  नवकार मंत्र, इरियावहिया, लोगस्स,1
णमोत्थुणं के पाठ का दूसरा नाम क्या है?, चउवीसत्थव, इन्द्रस्तव, शक्रस्तव, अरिहंतस्तव,3
नवकार मंत्र में 'नमो' पद कितनी बार आया है?,1,5,6,7,3
नवकार मंत्र में शिक्षक का पद कौनसा है?, सिध्द, उपाध्याय, साधु, अरिहंत,2
भ.महावीर का जन्म स्थान कौनसा?, हस्तिनापुर, हस्तिशीर्ष, कुण्डलपुर, मणिपुर ,3
भ.महावीर की माता का नाम क्या?, त्रिशला, यशोदा, प्रियदर्शना, सुदर्शना ,1
भ.महावीर के पिता का नाम क्या?, नंदीवर्धन, सिद्धार्थ, सुपार्श्व, चेटक,2
भ.महावीर के कुल साधु कितने थे?,14000,15000,16000,36000,1
भ.महावीर के वीरता की पहली परीक्षा किसने ली थी?, शुलपाणीयक्ष, संगमदेव, ब्रम्हदेव, मुद्गरपाणीयक्ष,2
भ.महावीर का निर्वाण स्थान कौनसा?, अपापापुरी, मोक्षपुरी, शिवपुरी, पावापुरी,4
भ.महावीर का चिह्न क्या?, सिंह, वृषभ, मगर, बंदर,1
भ.महावीर की निर्वाण तिथि कौनसी?, पंचमी, चौदस, पौर्णिमा, अमावस्या ,4
भ.महावीर ने किस उम्र में दीक्षा ली?,21,28,30,32,3
भ.महावीर की कुल उम्र कितनी?,30,42,100,72,4
इस युग के २४ वें तीर्थकर कौन?, भ. ऋषभदेव, भ. पद्मनाथ, भ.महावीर,  भ. अममस्वामी,3
भ.महावीर का बचपन का नाम क्या था?, वर्धमान, वर्धन, नंदीवर्धन, सन्मति,1
भ.महावीर के बड़े भाई का नाम क्या?, सुपार्श्व, नंदीवर्धन, नंदीषेण, सुदर्शन,2
भ.महावीर ने किस भाषा में उपदेश दिया?, अर्धमागधी, पाली, संस्कृत, हिन्दी ,1
भ.महावीर के गणधर कितने?,116,84,11,9,3
भ.महावीर के दामाद का नाम क्या?, सुमाली, अर्जुनमाली, देवमाली, जमाली,4
भ.महावीर को आहार देने से किसकी बेड़ियां टूटी?, खरक वैद्य, मृगावती, चंदनबाला, जीरण सेठ,3
भ.महावीर के कुल श्रावक कितने थे?,169000,159000,195000,114000,2
भ.महावीर की कुल श्राविकाएं कितनी थी?,363000,314000,359000,318000,4
तीर्थंकर किस राग में देशना देते हैं?, मालकोष, भैरवी, मालवी, भुपाली ,1
भ.महावीर की कुल साध्वियां कितनी थी?,63000,36000,14000,59000,2
भ.महावीर के कानों में कीलें किसने ठोकी थी?, किसान, वैद्य, ग्वाला, सैनिक,3
भ.महावीर ने कितने अभिग्रह ग्रहण किये थे?,5,7,9,13,4
भ.महावीर की पुत्री का नाम क्या ?, प्रियदर्शना, सुदर्शना, नंदीवर्धना, प्रियवर्धना,1
भ.महावीर को केवलज्ञान किस नदी के तट पर हुआ?, गंगा, ऋजुबालिका, सरस्वती, कुलबालिका,2
भ.महावीर को केवलज्ञान किस उम्र में हुआ?,30,42,72,22,2
भ.महावीर को केवलज्ञान किस वृक्ष के नीचे हुआ?, अशोक, साल, शाल्मली, उदुंबर ,2
भ.महावीर के बहन का नाम क्या ?, प्रियदर्शना, प्रियनंदा, सुदर्शना, नंदीवर्धना,3
तीर्थंकर कितने इन्द्रों से पूजित होते हैं?,16,24,64,72,3
भ.महावीर की जन्म तिथि कौनसी?, एकम, दशमी, पौर्णिमा, तेरस,4
भ.महावीर ने कितने वर्षों तक तपस्या की?,30,42,12,15,3
भ.महावीर की प्रमुख शिष्या कौन थी?, चंदनबाला, ब्राह्मी, सुलसा, सुभद्रा,1
भ.महावीर के प्रमुख शिष्य कौन थे?, सुधर्मा स्वामी, गौतम स्वामी, जम्बु स्वामी, सुजात स्वामी ,2
भ.महावीर का अभिग्रह किसने पूरा किया?, बहुल ब्राम्हण, पुरण सेठ, चंदनबाला, सिद्धार्थ वणिक,3
भ.महावीर अनार्य देश में कितनी बार गए?,4,1,3,2,4
भ.महावीर के साथ अनार्य देश में कौन गया था?, जमाली, गोशालक, सिद्धार्थ, नंदीवर्धन,2
भ.महावीर की निर्वाण तिथि किस पर्व के रूप में मनाते हैं?,महावीर जयंति, अक्षयतृतीया, पर्युषण, दीपावली ,4
पांच पदों में से तीर्थंकर का पद कौनसा?, अरिहंत, सिद्ध, आचार्य, उपाध्याय ,1
एक कालचक्र में कितने तीर्थंकर होते हैं?,24,48,20,72,2
भ.महावीर के प्रमुख श्रावक कौन थे?, शालिनीपिता, कामदेव, आनंद, पुणिया,3
राजगृही नगरी में भ.महावीर ने कितने चातुर्मास किए?,16,12,14,18,3
भ.महावीर की अंतिम देशना कितने प्रहर तक चली?,3,12,9,16,4
उत्तराध्ययन सूत्र किसकी अंतिम देशना है?,भ.महावीर, सुधर्मा स्वामी, गौतम स्वामी, जम्बु स्वामी,1
तीर्थंकर प्रतिदिन कितनी स्वर्णमुद्राएँ दान देते हैं?,108000,1008,10800000,18000000,3
तीर्थंकर दीक्षा के पूर्व कितने दिन दान देते हैं?, १०० दिन, १ वर्ष, २ वर्ष, १ दिन ,2
तीर्थंकर को तीर्थ प्रवर्तन की विनंती कौन करते हैं?, ग्रैवेयक देव, ज्योतिषी देव, लोकांतिक देव, भवनपति देव,3
तीर्थंकर को जन्म से कितने ज्ञान होते हैं?,2,3,5,1,2
तीर्थंकर को दीक्षा लेते ही कौनसा ज्ञान होता है ?, केवलज्ञान, अवधिज्ञान, श्रुतज्ञान, मनःपर्यवज्ञान,4
तीर्थंकर केवल ज्ञान के प्राप्ति तक प्रायः क्या करते हैं?, मौन, तपस्या, ध्यान, साधना,1
तीर्थंकर समवशरण में किस दिशा में मुंह करके बैठते हैं?, पश्चिम, उत्तर, पूर्व, दक्षिण ,3
तीर्थंकर की वाणी के कितने गुण होते हैं ?,34,35,21,108,2
तीर्थंकर के कितने अतिशय होते हैं?,34,35,19,4,1
भ.महावीर का जन्म किस आरे में हुआ?, पहले, दूसरे, तीसरे, चौथे,4
जिओ और जीने दो किसका संदेश है?, गौतम स्वामी, आनंदऋषिजी म. सा., भ.महावीर,जम्बु स्वामी,3
भ.महावीर के नाना कौन थे?, चेटक, समरवीर, चण्डप्रद्योत, दधिवाहन,2
भ.महावीर ने विश्व को कितने सिध्दांत दिए?,1,3,5,2,2
इस युग के प्रथम तीर्थंकर कौन हैं?, भ. ऋषभदेव,भ.महावीर, भ. पद्मनाथ,  भ. ऋषभसेन,1
सबसे ज्यादा उपसर्ग किस तीर्थंकर को आए?,  भ. ऋषभदेव,भ.महावीर, भ. सुमतिनाथ,  भ. पार्श्वनाथ,2
तीर्थंकर कितने लक्षण से युक्त होते हैं?,108,108000,1008,10800000,3
भ.महावीर का अंतिम चातुर्मास कहां हुआ?, राजगृही, मगध, चंपानगरी, पावापूरी,4
तीर्थंकर के मुरव्य शिष्य को क्या कहते हैं?, विहरमान, गणधर, श्रावक, साधु ,2
२४ तीर्थंकरों में से सबसे अधिक पुण्य किसका?, अभिनंदनजी, शांतिनाथजी, भ.महावीर , पार्श्वनाथजी,4
तीर्थंकर वर्तमान में कहां है?, भरतक्षेत्र, महाविदेहक्षेत्र, देवकुरु, ऐरावत क्षेत्र ,2
भ.महावीर को सबसे ज्यादा प्रश्न किसने पूछे?, जयंति श्राविका, कालोदयी, गौतम स्वामी, गोशालक ,3
भ.महावीर को किसने दंश मारा था?, चण्डप्रद्योत, चण्डरुद्र, चण्डकौशिक, चण्डकोलिया,3
तीर्थंकर के कितने प्रतिहार्य होते हैं?,8,34,35,64,1
तीर्थंकर की आत्मा किस किस गति से आती है?, देव-मनुष्य, मनुष्य-तिर्यंच, मनुष्य-नरक, देव-नरक,4
तीर्थंकर के प्रवचन को क्या कहते हैं?, व्याख्यान, देशना, उपदेश, बोधिलाभ,2
तीर्थंकर के समवशरण की रचना कौन करते हैं?, मनुष्य, राजा, देवता, गणधर,3
एक समय में उत्कृष्ट तीर्थंकर कितने होते हैं?,160,120,48,170,4
तीर्थंकर कितने दोषों से रहित होते हैं?,18,12,21,15,1
तीर्थंकर को शक्रेन्द्र किस पाठ से वंदना करते हैं?, लोगस्स, णमोत्थुणं, नवकार मंत्र, सिध्द स्तुति,2
गति कितनी है?,4,2,1,5,1
 जाति कितनी है?,4,5,2,10,2
