question,option_one,option_two,option_three,option_four,answer
जैन धर्म का पूर्व पूरा नाम क्या था?,निर्ग्रंथ धर्म, मोक्ष धर्म, जिन धर्म, अरिहंत धर्म,1
श्रावक के अभिगम कितने हैं?,2,5,8,3,2
आंख पर चश्मा किस कर्म के उदय से आता है?,ज्ञानावरणीय, वेदनीय, दर्शनावरणीय, मोहनीय,3
वीतराग वाटिका में प्रवेश करने का द्वार कौनसा?,मिथ्यात्व, समभाव, प्रवचन, समकित ,4
साधु-साध्वी की कितनी माता होती हैं?,2,8,5,4,2
सर्वप्रथम आगम का हिंदी अनुवाद किसने किया?,अमोलकऋषिजी म. सा., तिलोकऋषिजी म. सा., आनंदऋषिजी म. सा., रत्नऋषिजी म. सा.,1
४८ मिनट का तप कौनसा?,पौरुषी, सामायिक, नवकारसी, चौविहार,3
तिक्खुत्तो का पाठ किस आगम से लिया है?,भगवती, आचारांग, स्थानांग, राजप्रश्नीय,4
एक तिर्यंच श्रावक कितने व्रत का पालन कर सकता है?,12,11,10,5,2
साधु कैसा आहार करते हैं?,सचित, मिश्र, अचित, बासी,3
चक्रवर्ती कितने होते हैं?,9,24,12,8,3
वासुदेव कितने होते हैं?,9,24,12,8,1
बलदेव कितने होते हैं?,12,9,24,8,2
श्रावक पद रीन्यू कराने का दिन कौनसा?,मौन ग्यारस, ज्ञानपंचमी, महावीर जयंती, संवत्सरी,4
पैंडल बिना कौनसा चक्र चलता है?,परम चक्र, सुदर्शन चक्र, काल चक्र, ऋतु चक्र,3
गुरुभक्ति के लिए कौन प्रसिद्ध है?,गौतम स्वामी, जम्बु स्वामी, अतिमुक्तक, श्रीकृष्ण ,1
सेवा के लिए प्रसिद्ध मुनि कौन?,नंदीवर्धन, नंदीषेण, महासेन, बलभद्र,2
किसकी बुद्धि श्रेष्ठ मानी जाती है?,कार्तिकसेठ, अभयकुमार, शालिभद्र, कयवण्णा,2
कपोत पर दया करके तीर्थंकर कौन बने?,मेघकुमार, शिवकुमार, मेघरथ राजा, स्वर्णरथ राजा,3
मंगल पाठ में कितने शरण बताए हैं?,1,2,3,4,
